year,week,grid,CPUE
2015,47,25,2.5002289134
2015,47,26,2.2677492191
2015,47,27,2.4846678515
2015,47,28,2.1342993466
2015,47,29,3.0517508343
2015,47,30,3.1699455771
2015,47,31,3.1132479936
2015,47,32,2.8009180328
2015,47,33,2.7904044944
2015,47,34,2.3805473684
2015,47,35,1.89
2015,47,36,2.2098461538
2015,47,37,2.4806003478
2015,47,38,3.4291567772
2015,47,39,3.6494325954
2015,47,40,3.2243263538
2015,47,41,3.3996273231
2015,47,42,3.1978504559
2015,47,43,3.3024818334
2015,47,44,2.9635857391
2015,47,45,1.9629883636
2015,47,46,2.0473411765
2015,47,47,1.4877460751
2015,47,50,4.0263339982
2015,47,51,4.0981865429
2015,47,52,2.8973710483
2015,47,53,5.1282949684
2015,47,55,3.402
2015,47,56,1.8895047805
2015,47,62,5.5386947368
2015,47,63,3.7739861213
2015,47,64,4.5727394671
2015,47,65,3.5400984993
2015,47,66,4.9953338829
2015,47,75,5.0453052632
2015,47,76,4.172025974
2015,47,77,4.1920050502
2015,47,78,3.79008
2015,47,88,3.648
2015,47,89,4.29408
2015,47,98,2.837412766
2015,48,1,1.323
2015,48,3,2.2093448276
2015,48,5,3.6288
2015,48,6,1.6859469027
2015,48,7,2.5609151292
2015,48,8,3.402
2015,48,9,2.1622134276
2015,48,10,1.512
2015,48,11,1.6175241977
2015,48,12,1.5687952359
2015,48,13,0.980286445
2015,48,14,1.932
2015,48,15,1.1322141732
2015,48,16,1.0026947368
2015,48,17,3.3428347826
2015,48,18,3.6036
2015,48,19,3.8125862069
2015,48,25,1.9253371105
2015,48,26,1.7503262423
2015,48,27,2.088590556
2015,48,28,1.5677852338
2015,48,29,1.9459075825
2015,48,30,2.5958362711
2015,48,31,2.2208245202
2015,48,32,2.0887726829
2015,48,33,2.9414334471
2015,48,35,1.5876
2015,48,37,1.5369035294
2015,48,38,2.9649190089
2015,48,39,2.9635582059
2015,48,40,2.4857704918
2015,48,41,2.524608
2015,48,42,2.823018788
2015,48,43,2.3549112426
2015,48,44,3.42468
2015,48,45,2.151072
2015,48,46,1.099892093
2015,48,47,0.7647172962
2015,48,50,3.7305155027
2015,48,51,3.4770321888
2015,48,52,2.8917215671
2015,48,53,5.579739508
2015,48,54,3.6288
2015,48,55,3.0912
2015,48,56,1.2459049649
2015,48,57,1.2096
2015,48,62,4.3456
2015,48,63,2.7205345588
2015,48,64,3.8021567475
2015,48,65,3.3047258157
